month,name,value
Jan-2012,Information,1.62962963
Feb-2012,Information,1.338028169
Mar-2012,Information,1.492537313
Apr-2012,Information,1.529411765
May-2012,Information,1.166666667
Jun-2012,Information,1.909090909
Jul-2012,Information,1.470588235
Aug-2012,Information,1.109756098
Sep-2012,Information,1.610169492
Oct-2012,Information,1.365079365
Nov-2012,Information,1.444444444
Dec-2012,Information,1.28358209
Jan-2013,Information,1.241935484
Feb-2013,Information,1.270588235
Mar-2013,Information,1.98
Apr-2013,Information,0.942857143
May-2013,Information,1.24691358
Jun-2013,Information,1.168539326
Jul-2013,Information,1.153846154
Aug-2013,Information,0.855421687
Sep-2013,Information,1.063829787
Oct-2013,Information,1.524390244
Nov-2013,Information,1.461538462
Dec-2013,Information,1.345238095
Jan-2014,Information,1.21978022
Feb-2014,Information,1.320987654
Mar-2014,Information,1.153846154
Apr-2014,Information,1.425
May-2014,Information,1.527027027
Jun-2014,Information,1.278481013
Jul-2014,Information,1.244444444
Aug-2014,Information,1.423076923
Sep-2014,Information,1.391891892
Oct-2014,Information,1.061728395
Nov-2014,Information,1.177570093
Dec-2014,Information,1.35443038
Jan-2015,Information,1.3875
Feb-2015,Information,1.666666667
Mar-2015,Information,1.358024691
Apr-2015,Information,1.297619048
May-2015,Information,1.238636364
Jun-2015,Information,1.4125
Jul-2015,Information,1.524390244
Aug-2015,Information,1.414634146
Sep-2015,Information,1.414634146
Oct-2015,Information,1.258426966
Nov-2015,Information,0.897435897
Dec-2015,Information,1.48
Jan-2016,Information,1.261363636
Feb-2016,Information,1.093023256
Mar-2016,Information,1.171052632
Apr-2016,Information,0.913043478
May-2016,Information,1.583333333
Jun-2016,Information,1.058823529
Jul-2016,Information,1.012658228
Aug-2016,Information,1.012820513
Sep-2016,Information,1.275
Oct-2016,Information,1.08974359
Nov-2016,Information,0.964705882
Dec-2016,Information,0.987804878
Jan-2017,Information,0.988764045
Feb-2017,Information,0.853658537
Mar-2017,Information,1.116883117
Apr-2017,Information,1.5
May-2017,Information,1.41025641
Jun-2017,Information,1.417721519
Jul-2017,Information,1.166666667
Aug-2017,Information,1.333333333
Sep-2017,Information,1.092783505
Oct-2017,Information,1.011111111
Nov-2017,Information,1.102272727
Dec-2017,Information,1.302083333
Jan-2018,Information,1.376344086
Feb-2018,Information,1.450549451
Mar-2018,Information,1.402061856
Apr-2018,Information,1.891304348
May-2018,Information,1.329896907
Jun-2018,Information,1.516483516
Jul-2018,Information,1.69047619
Aug-2018,Information,1.611111111
Sep-2018,Information,1.310344828
Oct-2018,Information,1.651162791
Nov-2018,Information,1.418367347
Dec-2018,Information,1.602409639
Jan-2019,Information,1.651162791
Feb-2019,Information,1.574712644
Mar-2019,Information,1.504854369
Apr-2019,Information,1.14893617
May-2019,Information,1.222222222
Jun-2019,Information,1.414893617
Jul-2019,Information,1.565656566
Aug-2019,Information,1.391304348
Sep-2019,Information,1.849462366
Oct-2019,Information,1.484536082
Nov-2019,Information,1.606741573
Dec-2019,Information,1.559139785
Jan-2020,Information,1.739726027
Feb-2020,Information,1.453608247
Mar-2020,Information,1.680555556
Apr-2020,Information,3.128205128
May-2020,Information,1.318181818
Jun-2020,Information,1.754385965
Jul-2020,Information,1.023529412
Aug-2020,Information,0.944444444
Sep-2020,Information,1.099009901
Oct-2020,Information,1.024793388
Nov-2020,Information,1.155555556
Dec-2020,Information,1.414634146
Jan-2021,Information,1.75
Feb-2021,Information,1.144329897
Mar-2021,Information,1.088235294
Apr-2021,Information,1.125
May-2021,Information,1.371428571
Jun-2021,Information,1.372727273
Jul-2021,Information,1.70754717
Aug-2021,Information,1.56779661
Sep-2021,Information,1.495652174
Oct-2021,Information,1.504201681
Nov-2021,Information,1.692982456
Dec-2021,Information,2.09009009
Jan-2012,Manufacturing,0.936329588
Feb-2012,Manufacturing,0.920454545
Mar-2012,Manufacturing,1.140794224
Apr-2012,Manufacturing,0.946564885
May-2012,Manufacturing,1.193675889
Jun-2012,Manufacturing,1.098540146
Jul-2012,Manufacturing,1.036290323
Aug-2012,Manufacturing,1.145922747
Sep-2012,Manufacturing,1.082969432
Oct-2012,Manufacturing,1.08
Nov-2012,Manufacturing,1.028340081
Dec-2012,Manufacturing,1.068376068
Jan-2013,Manufacturing,1.020242915
Feb-2013,Manufacturing,1.150406504
