month,name,value
Jan-12,Other Services,0.605263158
Feb-12,Other Services,0.844311377
Mar-12,Other Services,0.747252747
Apr-12,Other Services,0.842639594
May-12,Other Services,0.833333333
Jun-12,Other Services,0.859550562
Jul-12,Other Services,0.655172414
Aug-12,Other Services,0.43315508
Sep-12,Other Services,0.735449735
Oct-12,Other Services,0.920634921
Nov-12,Other Services,0.586363636
Dec-12,Other Services,0.668449198
Jan-13,Other Services,0.832432432
Feb-13,Other Services,0.575129534
Mar-13,Other Services,0.729357798
Apr-13,Other Services,0.628865979
May-13,Other Services,0.862745098
Jun-13,Other Services,0.833333333
Jul-13,Other Services,0.845303867
Aug-13,Other Services,0.556756757
Sep-13,Other Services,0.983146067
Oct-13,Other Services,0.95480226
Nov-13,Other Services,0.825842697
Dec-13,Other Services,0.883495146
Jan-14,Other Services,0.74
Feb-14,Other Services,0.787234043
Mar-14,Other Services,0.627218935
Apr-14,Other Services,0.84
May-14,Other Services,0.756613757
Jun-14,Other Services,0.718390805
Jul-14,Other Services,0.731958763
Aug-14,Other Services,1.026455026
Sep-14,Other Services,0.858757062
Oct-14,Other Services,0.942408377
Nov-14,Other Services,0.866995074
Dec-14,Other Services,0.938888889
Jan-15,Other Services,0.984210526
Feb-15,Other Services,0.711297071
Mar-15,Other Services,0.880382775
Apr-15,Other Services,0.824742268
May-15,Other Services,0.826732673
Jun-15,Other Services,0.849557522
Jul-15,Other Services,0.9
Aug-15,Other Services,1.04040404
Sep-15,Other Services,0.831111111
Oct-15,Other Services,0.899038462
Nov-15,Other Services,0.752688172
Dec-15,Other Services,0.95412844
Jan-16,Other Services,1.229050279
Feb-16,Other Services,1.116504854
Mar-16,Other Services,1
Apr-16,Other Services,1.541436464
May-16,Other Services,1.011976048
Jun-16,Other Services,0.926724138
Jul-16,Other Services,1.262195122
Aug-16,Other Services,1.289772727
Sep-16,Other Services,0.980099502
Oct-16,Other Services,1.062146893
Nov-16,Other Services,1.009345794
Dec-16,Other Services,1.294736842
Jan-17,Other Services,1
Feb-17,Other Services,1.125
Mar-17,Other Services,1.423076923
Apr-17,Other Services,1.639130435
May-17,Other Services,1.200956938
Jun-17,Other Services,1.135746606
Jul-17,Other Services,1.384297521
Aug-17,Other Services,1.045833333
Sep-17,Other Services,1.45049505
Oct-17,Other Services,1.157446809
Nov-17,Other Services,1.258706468
Dec-17,Other Services,0.845454545
Jan-18,Other Services,1.034313725
Feb-18,Other Services,1.234042553
Mar-18,Other Services,1.032258065
Apr-18,Other Services,1.044843049
May-18,Other Services,1.046218487
Jun-18,Other Services,1.166666667
Jul-18,Other Services,1.160621762
Aug-18,Other Services,1.048034934
Sep-18,Other Services,1.077272727
Oct-18,Other Services,1.32735426
Nov-18,Other Services,1.068548387
Dec-18,Other Services,1.251162791
Jan-19,Other Services,0.769230769
Feb-19,Other Services,1.197916667
Mar-19,Other Services,1.183962264
Apr-19,Other Services,1.130630631
May-19,Other Services,1.235023041
Jun-19,Other Services,1.104803493
Jul-19,Other Services,1.189189189
Aug-19,Other Services,1.153153153
Sep-19,Other Services,1.27
Oct-19,Other Services,1.236363636
Nov-19,Other Services,1.088669951
Dec-19,Other Services,1.05982906
Jan-20,Other Services,1.155172414
Feb-20,Other Services,0.907079646
Mar-20,Other Services,1.034246575
Apr-20,Other Services,0.906040268
May-20,Other Services,0.30318258
Jun-20,Other Services,0.687664042
Jul-20,Other Services,1.373737374
Aug-20,Other Services,1.0456621
Sep-20,Other Services,0.971544715
Oct-20,Other Services,1.004166667
Nov-20,Other Services,1.033175355
Dec-20,Other Services,1.153409091
Jan-21,Other Services,1.135514019
Feb-21,Other Services,1.151639344
Mar-21,Other Services,1.100456621
Apr-21,Other Services,1.553648069
May-21,Other Services,2.108597285
Jun-21,Other Services,1.619834711
Jul-21,Other Services,1.76171875
Aug-21,Other Services,1.99543379
Sep-21,Other Services,1.742307692
Oct-21,Other Services,1.927350427
Nov-21,Other Services,1.660305344
Dec-21,Other Services,1.4140625
Jan-12,Leisure and Hospitality,0.583762887
Feb-12,Leisure and Hospitality,0.49156939
Mar-12,Leisure and Hospitality,0.519767442
Apr-12,Leisure and Hospitality,0.634564644
May-12,Leisure and Hospitality,0.621438263
Jun-12,Leisure and Hospitality,0.668975069
Jul-12,Leisure and Hospitality,0.650265957
Aug-12,Leisure and Hospitality,0.527431421
Sep-12,Leisure and Hospitality,0.584487535
Oct-12,Leisure and Hospitality,0.633858268
Nov-12,Leisure and Hospitality,0.693055556
Dec-12,Leisure and Hospitality,0.590909091
Jan-13,Leisure and Hospitality,0.583850932
Feb-13,Leisure and Hospitality,0.656565657
Mar-13,Leisure and Hospitality,0.638509317
Apr-13,Leisure and Hospitality,0.556461001
May-13,Leisure and Hospitality,0.578298397
Jun-13,Leisure and Hospitality,0.603703704
Jul-13,Leisure and Hospitality,0.63510101
Aug-13,Leisure and Hospitality,0.67746114
Sep-13,Leisure and Hospitality,0.665859564
Oct-13,Leisure and Hospitality,0.672478207
Nov-13,Leisure and Hospitality,0.688212928
Dec-13,Leisure and Hospitality,0.73125
Jan-14,Leisure and Hospitality,0.714628297
Feb-14,Leisure and Hospitality,0.654161782
Mar-14,Leisure and Hospitality,0.68547419
Apr-14,Leisure and Hospitality,0.766203704
May-14,Leisure and Hospitality,0.78713969
Jun-14,Leisure and Hospitality,0.741474147
Jul-14,Leisure and Hospitality,0.719178082
Aug-14,Leisure and Hospitality,0.832349469
Sep-14,Leisure and Hospitality,0.770402612
Oct-14,Leisure and Hospitality,0.751399776
Nov-14,Leisure and Hospitality,0.693406593
Dec-14,Leisure and Hospitality,0.75534188
Jan-15,Leisure and Hospitality,0.882288229
Feb-15,Leisure and Hospitality,0.809061489
Mar-15,Leisure and Hospitality,0.782372144
Apr-15,Leisure and Hospitality,0.755508919
May-15,Leisure and Hospitality,0.727743271
Jun-15,Leisure and Hospitality,0.725490196
Jul-15,Leisure and Hospitality,0.796858639
Aug-15,Leisure and Hospitality,0.684055118
Sep-15,Leisure and Hospitality,0.693897638
Oct-15,Leisure and Hospitality,0.774925962
Nov-15,Leisure and Hospitality,0.743914314
Dec-15,Leisure and Hospitality,0.714832536
Jan-16,Leisure and Hospitality,0.794764398
Feb-16,Leisure and Hospitality,0.721904762
Mar-16,Leisure and Hospitality,0.802133851
Apr-16,Leisure and Hospitality,0.757696127
May-16,Leisure and Hospitality,0.717874396
Jun-16,Leisure and Hospitality,0.760536398
Jul-16,Leisure and Hospitality,0.732817038
Aug-16,Leisure and Hospitality,0.769894535
Sep-16,Leisure and Hospitality,0.765803109
Oct-16,Leisure and Hospitality,0.781089414
Nov-16,Leisure and Hospitality,0.719661336
Dec-16,Leisure and Hospitality,0.734052993
Jan-17,Leisure and Hospitality,0.701550388
Feb-17,Leisure and Hospitality,0.885601578
Mar-17,Leisure and Hospitality,0.739387957
Apr-17,Leisure and Hospitality,0.825661117
May-17,Leisure and Hospitality,0.835480674
Jun-17,Leisure and Hospitality,0.823529412
Jul-17,Leisure and Hospitality,0.849112426
Aug-17,Leisure and Hospitality,0.896449704
Sep-17,Leisure and Hospitality,0.782178218
Oct-17,Leisure and Hospitality,0.778864971
Nov-17,Leisure and Hospitality,0.852283771
Dec-17,Leisure and Hospitality,0.890231621
Jan-18,Leisure and Hospitality,0.912228797
Feb-18,Leisure and Hospitality,0.871455577
Mar-18,Leisure and Hospitality,0.886015326
Apr-18,Leisure and Hospitality,0.906755471
May-18,Leisure and Hospitality,0.865886589
Jun-18,Leisure and Hospitality,1.028846154
Jul-18,Leisure and Hospitality,0.924408015
Aug-18,Leisure and Hospitality,0.954545455
Sep-18,Leisure and Hospitality,1.014312977
Oct-18,Leisure and Hospitality,0.917944094
Nov-18,Leisure and Hospitality,0.945996276
Dec-18,Leisure and Hospitality,1.054807692
Jan-19,Leisure and Hospitality,1
Feb-19,Leisure and Hospitality,0.924908425
Mar-19,Leisure and Hospitality,0.925250684
Apr-19,Leisure and Hospitality,0.867126833
May-19,Leisure and Hospitality,0.944962687
Jun-19,Leisure and Hospitality,0.832007073
Jul-19,Leisure and Hospitality,0.84676705
Aug-19,Leisure and Hospitality,0.839473684
Sep-19,Leisure and Hospitality,0.881282496
Oct-19,Leisure and Hospitality,0.891071429
Nov-19,Leisure and Hospitality,0.897506925
Dec-19,Leisure and Hospitality,0.81826087
Jan-20,Leisure and Hospitality,0.83245614
Feb-20,Leisure and Hospitality,0.868940754
Mar-20,Leisure and Hospitality,0.951255539
Apr-20,Leisure and Hospitality,0.888888889
May-20,Leisure and Hospitality,0.373376623
Jun-20,Leisure and Hospitality,0.4345
Jul-20,Leisure and Hospitality,0.605805959
Aug-20,Leisure and Hospitality,0.769628099
Sep-20,Leisure and Hospitality,0.744053283
Oct-20,Leisure and Hospitality,0.734497817
