obs,month,name,value
1,January-2020,Construction,0.70263789
2,February-2020,Construction,0.751861042
3,March-2020,Construction,0.576441103
4,April-2020,Construction,0.99047619
5,May-2020,Construction,0.387895461
6,June-2020,Construction,0.4609375
7,July-2020,Construction,0.75826972
8,August-2020,Construction,0.62628866
9,September-2020,Construction,0.596401028
10,October-2020,Construction,0.639896373
11,November-2020,Construction,0.689655172
12,December-2020,Construction,0.655256724
13,January-2021,Construction,0.851851852
14,February-2021,Construction,0.672774869
15,March-2021,Construction,0.756756757
16,April-2021,Construction,0.98502994
17,May-2021,Construction,1.003257329
18,June-2021,Construction,0.919770774
19,July-2021,Construction,0.923287671
20,August-2021,Construction,0.97574124
21,September-2021,Construction,1.005780347
22,October-2021,Construction,1.082872928
23,November-2021,Construction,0.855140187
24,December-2021,Construction,0.994459834
1,January-2020,Education and Health Services,1.67
2,February-2020,Education and Health Services,1.616368286
3,March-2020,Education and Health Services,1.801515152
4,April-2020,Education and Health Services,1.790566038
5,May-2020,Education and Health Services,0.834605598
6,June-2020,Education and Health Services,1.169329073
7,July-2020,Education and Health Services,1.404205607
8,August-2020,Education and Health Services,1.675070028
9,September-2020,Education and Health Services,1.696551724
10,October-2020,Education and Health Services,1.819034853
11,November-2020,Education and Health Services,1.835180055
12,December-2020,Education and Health Services,1.785413745
13,January-2021,Education and Health Services,2.016369048
14,February-2021,Education and Health Services,2.185135135
15,March-2021,Education and Health Services,1.964613368
16,April-2021,Education and Health Services,2.011734029
17,May-2021,Education and Health Services,2.232984293
18,June-2021,Education and Health Services,2.221935484
19,July-2021,Education and Health Services,2.475195822
20,August-2021,Education and Health Services,2.286259542
21,September-2021,Education and Health Services,2.3757503
22,October-2021,Education and Health Services,2.53874092
23,November-2021,Education and Health Services,2.450980392
24,December-2021,Education and Health Services,2.585106383
1,January-2020,Financial Activities,1.949541284
2,February-2020,Financial Activities,1.723140496
3,March-2020,Financial Activities,1.502164502
4,April-2020,Financial Activities,1.698113208
5,May-2020,Financial Activities,1.5
6,June-2020,Financial Activities,1.703517588
7,July-2020,Financial Activities,1.207692308
8,August-2020,Financial Activities,1.281385281
9,September-2020,Financial Activities,1.253012048
10,October-2020,Financial Activities,1.297959184
11,November-2020,Financial Activities,1.338095238
12,December-2020,Financial Activities,1.439613527
13,January-2021,Financial Activities,1.346341463
14,February-2021,Financial Activities,1.557788945
15,March-2021,Financial Activities,1.634146341
16,April-2021,Financial Activities,1.990697674
17,May-2021,Financial Activities,1.922330097
18,June-2021,Financial Activities,1.715686275
19,July-2021,Financial Activities,2.186234818
20,August-2021,Financial Activities,2.262135922
21,September-2021,Financial Activities,1.510344828
22,October-2021,Financial Activities,2.041284404
23,November-2021,Financial Activities,2.111587983
24,December-2021,Financial Activities,2.052401747
1,January-2020,Health Care and Social Assistance,1.760115607
2,February-2020,Health Care and Social Assistance,1.664233577
3,March-2020,Health Care and Social Assistance,1.904761905
4,April-2020,Health Care and Social Assistance,1.864035088
5,May-2020,Health Care and Social Assistance,0.832869081
6,June-2020,Health Care and Social Assistance,1.226161369
7,July-2020,Health Care and Social Assistance,1.478723404
8,August-2020,Health Care and Social Assistance,1.760517799
9,September-2020,Health Care and Social Assistance,1.726851852
10,October-2020,Health Care and Social Assistance,1.89280245
11,November-2020,Health Care and Social Assistance,1.945773525
12,December-2020,Health Care and Social Assistance,1.860719875
13,January-2021,Health Care and Social Assistance,2.201096892
14,February-2021,Health Care and Social Assistance,2.311248074
15,March-2021,Health Care and Social Assistance,2.072617247
16,April-2021,Health Care and Social Assistance,2.080597015
17,May-2021,Health Care and Social Assistance,2.293154762
18,June-2021,Health Care and Social Assistance,2.3125
19,July-2021,Health Care and Social Assistance,2.585585586
20,August-2021,Health Care and Social Assistance,2.412371134
21,September-2021,Health Care and Social Assistance,2.456521739
22,October-2021,Health Care and Social Assistance,2.690677966
23,November-2021,Health Care and Social Assistance,2.53298153
24,December-2021,Health Care and Social Assistance,2.647849462
1,January-2020,Information,1.739726027
2,February-2020,Information,1.453608247
3,March-2020,Information,1.680555556
4,April-2020,Information,3.128205128
5,May-2020,Information,1.318181818
6,June-2020,Information,1.754385965
7,July-2020,Information,1.023529412
8,August-2020,Information,0.944444444
9,September-2020,Information,1.099009901
10,October-2020,Information,1.024793388
11,November-2020,Information,1.155555556
12,December-2020,Information,1.414634146
13,January-2021,Information,1.75
14,February-2021,Information,1.144329897
15,March-2021,Information,1.088235294
16,April-2021,Information,1.125
17,May-2021,Information,1.371428571
18,June-2021,Information,1.372727273
19,July-2021,Information,1.70754717
20,August-2021,Information,1.56779661
21,September-2021,Information,1.495652174
22,October-2021,Information,1.504201681
23,November-2021,Information,1.692982456
24,December-2021,Information,2.09009009
1,January-2020,Leisure and Hospitality,0.83245614
2,February-2020,Leisure and Hospitality,0.868940754
3,March-2020,Leisure and Hospitality,0.951255539
4,April-2020,Leisure and Hospitality,0.888888889
5,May-2020,Leisure and Hospitality,0.373376623
6,June-2020,Leisure and Hospitality,0.4345
7,July-2020,Leisure and Hospitality,0.605805959
8,August-2020,Leisure and Hospitality,0.769628099
9,September-2020,Leisure and Hospitality,0.744053283
10,October-2020,Leisure and Hospitality,0.734497817
11,November-2020,Leisure and Hospitality,0.783410138
12,December-2020,Leisure and Hospitality,0.928571429
13,January-2021,Leisure and Hospitality,0.782128514
14,February-2021,Leisure and Hospitality,0.861135371
15,March-2021,Leisure and Hospitality,0.969378828
16,April-2021,Leisure and Hospitality,0.980408163
17,May-2021,Leisure and Hospitality,1.086956522
18,June-2021,Leisure and Hospitality,1.2143446
19,July-2021,Leisure and Hospitality,1.29089444
20,August-2021,Leisure and Hospitality,1.392220421
21,September-2021,Leisure and Hospitality,1.29352397
22,October-2021,Leisure and Hospitality,1.384223919
23,November-2021,Leisure and Hospitality,1.370065789
24,December-2021,Leisure and Hospitality,1.669463087
1,January-2020,Manufacturing,1.26625387
2,February-2020,Manufacturing,1.106442577
