date,value
2020-01-01,0
2020-02-01,0.247160286
2020-03-01,-0.737536811
2020-04-01,-14.208429743
2020-05-01,-12.471734329
2020-06-01,-9.510412284
2020-07-01,-8.598022718
2020-08-01,-7.503549642
2020-09-01,-6.899453092
2020-10-01,-6.474153345
2020-11-01,-6.255258729
2020-12-01,-6.330852966
2021-01-01,-5.989035549
2021-02-01,-5.522323307
2021-03-01,-5.059555111
2021-04-01,-4.886674379
2021-05-01,-4.592842869
2021-06-01,-4.226703828
2021-07-01,-3.773795751
2021-08-01,-3.433950358
2021-09-01,-3.155237695
2021-10-01,-2.710217711
2021-11-01,-2.284917964
2021-12-01,-1.949673959
2022-01-01,-1.642695625
